#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0062023	Collagen-containing extracellular matrix	16	396	0.67	5.21e-05	9606.ENSP00000221930,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000265132,9606.ENSP00000266085,9606.ENSP00000314897,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000336762,9606.ENSP00000347041,9606.ENSP00000351807,9606.ENSP00000362524,9606.ENSP00000363827,9606.ENSP00000418009,9606.ENSP00000478319	TGFB1,LAMC1,THBS1,COL8A1,AMBP,TIMP3,ANGPT2,SERPINF2,PDGFB,ANG,FMOD,ELN,ANGPTL2,HSPG2,RARRES2,GREM1
GO:0012505	Endomembrane system	68	4542	0.24	7.69e-05	9606.ENSP00000215832,9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000267484,9606.ENSP00000278840,9606.ENSP00000281382,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000306124,9606.ENSP00000308208,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000345708,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000351908,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000356438,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000360247,9606.ENSP00000360997,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000363596,9606.ENSP00000363827,9606.ENSP00000365256,9606.ENSP00000366395,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000426809,9606.ENSP00000478570,9606.ENSP00000483018	MAPK1,TGFB1,MPO,CD38,WFS1,CHI3L1,LAMC1,THBS1,COL8A1,CDH1,NOX4,VDAC1,TIMP3,RTN1,FADS2,PIGF,APPL1,CCR5,AQP5,PLIN1,PRKCE,MMP14,APOL1,SERPINF2,PDGFB,GAS6,CAV1,LIMK2,KCNJ11,PDGFA,FMOD,SREBF1,MAP3K5,ABCG1,CD47,PTGS2,FMO3,SGK1,S100A12,CYP2J2,ADAMTS13,CAP1,NOX1,CNR2,HSPG2,CLCN5,SYVN1,EDN1,JAK2,PDGFD,FKBP2,NCALD,NFE2L2,BCL2,PLA2G2A,HPSE,NPY,TF,IRAK4,NTF3,RHOA,MYD88,BDNF,RARRES2,MME,PROM1,VEGFA,ABO
GO:0110165	Cellular anatomical entity	169	17788	0.04	0.00014	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216075,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000228434,9606.ENSP00000229135,9606.ENSP00000232219,9606.ENSP00000245479,9606.ENSP00000246553,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000259407,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000267484,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000278840,9606.ENSP00000281382,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000285407,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000297785,9606.ENSP00000298352,9606.ENSP00000300055,9606.ENSP00000301522,9606.ENSP00000302630,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000306884,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000314897,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000334329,9606.ENSP00000336762,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000351671,9606.ENSP00000351807,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000354901,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000356213,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360247,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000362410,9606.ENSP00000362463,9606.ENSP00000362524,9606.ENSP00000363596,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000364683,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377372,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000380365,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000403495,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000419313,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000445772,9606.ENSP00000474412,9606.ENSP00000475344,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000478319,9606.ENSP00000478570,9606.ENSP00000479617,9606.ENSP00000480291,9606.ENSP00000483018,9606.ENSP00000484631	ERCC1,CETP,MAPK1,MIOX,MYH9,CYP24A1,TGFB1,EPOR,USF2,PON2,MPO,CD38,WFS1,PDHX,CD69,IFNG,RBP1,SOX9,FFAR1,HSPB1,CHI3L1,FABP4,APC,LAMC1,BAAT,ENPP2,THBS1,COL8A1,CDH1,NOX4,NDUFS3,GCKR,AMBP,VDAC1,TIMP3,RTN1,IGF1R,POLR2D,ATM,FADS2,PIGF,JAZF1,DDAH1,KLF10,APPL1,CCR5,AQP5,ALDH1A1,NGB,PLIN1,PRDX2,ONECUT1,P2RY1,CXCL10,PRKCE,CXCL11,MMP14,LPL,CD34,ERCC4,MAPK7,HNF4A,ANGPT2,EDNRA,APOL1,LPA,SERPINF2,EBF1,CNDP2,PDGFB,GAS6,UNC5B,ANG,SIRT6,CAV1,LIMK2,STAT5A,KCNJ11,PRKAA1,PDGFA,FMOD,SREBF1,GFPT1,CCL20,ELN,MAP3K5,CD2AP,COMT,CD247,CXCL9,ABCG1,CD47,CNTF,VIP,PTGS2,UTRN,FMO3,SGK1,S100A12,CNR1,CYP2J2,ENTPD1,RBP4,ADAMTS13,PTEN,CAP1,NOX1,MAFB,GLO1,ANGPTL2,CNR2,TXN,AR,HSPG2,ALPL,BAMBI,CLCN5,MTHFR,SYVN1,BMP2,EDN1,KL,SHBG,JAK2,CAPN10,PDGFD,G6PD,GAP43,FKBP2,NCALD,NFE2L2,RGN,BCL2,GGT1,PLA2G2A,HPSE,NPY,SAA1,F11,TF,IRAK4,FGFR1,NTF3,ALPK1,RHOA,MYD88,GK,SLC12A3,LTA,BDNF,RARRES2,MME,FTO,TRPC1,AGTR1,PROM1,TNFAIP8,CITED2,LTB4R2,CCL5,APLNR,NR1H3,MTHFD1L,GREM1,VEGFA,UHRF1,HNF1B,ABO,PMP22
GO:0031093	Platelet alpha granule lumen	7	68	1.07	0.00029	9606.ENSP00000221930,9606.ENSP00000260356,9606.ENSP00000321853,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000478570	TGFB1,THBS1,SERPINF2,PDGFB,GAS6,PDGFA,VEGFA
GO:0005788	Endoplasmic reticulum lumen	13	308	0.69	0.00033	9606.ENSP00000226760,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000317674,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000356438,9606.ENSP00000360997,9606.ENSP00000368683,9606.ENSP00000376865,9606.ENSP00000385834	WFS1,LAMC1,THBS1,COL8A1,APOL1,PDGFB,GAS6,PDGFA,PTGS2,ADAMTS13,EDN1,PDGFD,TF
GO:0043226	Organelle	142	13515	0.08	0.00096	9606.ENSP00000013807,9606.ENSP00000200676,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000232219,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000259407,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000267484,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000278840,9606.ENSP00000281382,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000285407,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000297785,9606.ENSP00000298352,9606.ENSP00000300055,9606.ENSP00000301522,9606.ENSP00000302630,9606.ENSP00000304767,9606.ENSP00000306124,9606.ENSP00000308208,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000314897,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360247,9606.ENSP00000360250,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000362410,9606.ENSP00000362463,9606.ENSP00000362524,9606.ENSP00000363596,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000365256,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000369442,9606.ENSP00000369816,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377372,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000380365,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000445772,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000478570,9606.ENSP00000479617,9606.ENSP00000480291,9606.ENSP00000483018	ERCC1,CETP,MAPK1,MYH9,CYP24A1,TGFB1,EPOR,USF2,PON2,MPO,CD38,WFS1,PDHX,RBP1,SOX9,HSPB1,CHI3L1,FABP4,APC,LAMC1,BAAT,THBS1,COL8A1,CDH1,NOX4,NDUFS3,GCKR,AMBP,VDAC1,TIMP3,RTN1,IGF1R,POLR2D,ATM,FADS2,PIGF,JAZF1,DDAH1,KLF10,APPL1,CCR5,AQP5,ALDH1A1,NGB,PLIN1,PRDX2,ONECUT1,P2RY1,PRKCE,MMP14,CD34,ERCC4,MAPK7,HNF4A,ANGPT2,APOL1,SERPINF2,EBF1,CNDP2,PDGFB,GAS6,ANG,SIRT6,CAV1,LIMK2,STAT5A,KCNJ11,PRKAA1,PDGFA,FMOD,SREBF1,GFPT1,MAP3K5,CD2AP,COMT,ABCG1,CD47,PTGS2,UTRN,FMO3,SGK1,S100A12,CNR1,CYP2J2,ENTPD1,RBP4,ADAMTS13,PTEN,CAP1,NOX1,MAFB,GLO1,ANGPTL2,CNR2,TXN,AR,HSPG2,ALPL,CLCN5,SYVN1,BMP2,EDN1,KL,SHBG,JAK2,CAPN10,PDGFD,G6PD,GAP43,FKBP2,NCALD,NFE2L2,RGN,BCL2,GGT1,PLA2G2A,HPSE,NPY,SAA1,F11,TF,IRAK4,FGFR1,NTF3,RHOA,MYD88,GK,SLC12A3,BDNF,RARRES2,MME,FTO,PROM1,TNFAIP8,CITED2,LTB4R2,NR1H3,MTHFD1L,VEGFA,UHRF1,HNF1B,ABO
GO:0005783	Endoplasmic reticulum	29	1438	0.37	0.0013	9606.ENSP00000226760,9606.ENSP00000255409,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000263317,9606.ENSP00000267484,9606.ENSP00000293599,9606.ENSP00000300055,9606.ENSP00000306124,9606.ENSP00000317674,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000351908,9606.ENSP00000356438,9606.ENSP00000360997,9606.ENSP00000363596,9606.ENSP00000366395,9606.ENSP00000368683,9606.ENSP00000376865,9606.ENSP00000378046,9606.ENSP00000381185,9606.ENSP00000383364,9606.ENSP00000385834,9606.ENSP00000426809	WFS1,CHI3L1,LAMC1,THBS1,COL8A1,NOX4,RTN1,AQP5,PLIN1,PRKCE,APOL1,PDGFB,GAS6,CAV1,KCNJ11,PDGFA,SREBF1,MAP3K5,PTGS2,ADAMTS13,CNR2,SYVN1,EDN1,PDGFD,FKBP2,BCL2,PLA2G2A,TF,PROM1
GO:0070013	Intracellular organelle lumen	77	5857	0.18	0.0013	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000225275,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000232219,9606.ENSP00000245479,9606.ENSP00000255409,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000259407,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000263317,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000285407,9606.ENSP00000302630,9606.ENSP00000308208,9606.ENSP00000310520,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000322898,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000337332,9606.ENSP00000341208,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000352264,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362410,9606.ENSP00000362463,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000366395,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000376865,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000384262,9606.ENSP00000384906,9606.ENSP00000385834,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418823,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000445772,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000478570,9606.ENSP00000479617,9606.ENSP00000480291	ERCC1,MAPK1,CYP24A1,TGFB1,EPOR,USF2,MPO,WFS1,PDHX,RBP1,SOX9,CHI3L1,APC,LAMC1,BAAT,THBS1,COL8A1,NOX4,NDUFS3,GCKR,VDAC1,TIMP3,POLR2D,ATM,JAZF1,KLF10,ONECUT1,MMP14,ERCC4,MAPK7,HNF4A,APOL1,SERPINF2,EBF1,CNDP2,PDGFB,GAS6,ANG,SIRT6,STAT5A,PRKAA1,PDGFA,FMOD,SREBF1,CD2AP,PTGS2,UTRN,SGK1,S100A12,ADAMTS13,PTEN,CAP1,MAFB,GLO1,TXN,AR,HSPG2,SYVN1,EDN1,JAK2,PDGFD,NFE2L2,BCL2,HPSE,SAA1,TF,BDNF,RARRES2,FTO,TNFAIP8,CITED2,LTB4R2,NR1H3,MTHFD1L,VEGFA,UHRF1,HNF1B
GO:0098590	Plasma membrane region	26	1219	0.39	0.0014	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000226279,9606.ENSP00000257430,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000310036,9606.ENSP00000330382,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000354511,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000358513,9606.ENSP00000361021,9606.ENSP00000362057,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000377372,9606.ENSP00000385834,9606.ENSP00000400175,9606.ENSP00000402152,9606.ENSP00000426809	MAPK1,MYH9,CD38,APC,CDH1,NOX4,AQP5,P2RY1,CD34,PDGFB,CAV1,KCNJ11,PRKAA1,COMT,PTGS2,UTRN,CNR1,PTEN,NOX1,KL,JAK2,GAP43,TF,RHOA,SLC12A3,PROM1
GO:0034358	Plasma lipoprotein particle	5	38	1.18	0.0018	9606.ENSP00000200676,9606.ENSP00000309757,9606.ENSP00000317674,9606.ENSP00000321334,9606.ENSP00000384906	CETP,LPL,APOL1,LPA,SAA1
GO:0005796	Golgi lumen	7	101	0.9	0.0021	9606.ENSP00000221930,9606.ENSP00000308208,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000363827	TGFB1,MMP14,PDGFB,GAS6,PDGFA,FMOD,HSPG2
GO:0005887	Integral component of plasma membrane	30	1623	0.33	0.0036	9606.ENSP00000222139,9606.ENSP00000228434,9606.ENSP00000246553,9606.ENSP00000263317,9606.ENSP00000268035,9606.ENSP00000278840,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000308208,9606.ENSP00000310036,9606.ENSP00000315011,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000355361,9606.ENSP00000358513,9606.ENSP00000360250,9606.ENSP00000362057,9606.ENSP00000363596,9606.ENSP00000365256,9606.ENSP00000368104,9606.ENSP00000369442,9606.ENSP00000393312,9606.ENSP00000402152,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000445772,9606.ENSP00000475344	EPOR,CD69,FFAR1,NOX4,IGF1R,FADS2,CCR5,AQP5,P2RY1,MMP14,CD34,EDNRA,CAV1,KCNJ11,CD47,CNR1,ENTPD1,NOX1,CNR2,CLCN5,BMP2,KL,FGFR1,SLC12A3,MME,TRPC1,AGTR1,PROM1,LTB4R2,APLNR
GO:0005737	Cytoplasm	123	11428	0.09	0.0056	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216075,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000232219,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000259407,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000267484,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000284031,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000297785,9606.ENSP00000298352,9606.ENSP00000300055,9606.ENSP00000301522,9606.ENSP00000304767,9606.ENSP00000306124,9606.ENSP00000308208,9606.ENSP00000310036,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000349860,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000355370,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360247,9606.ENSP00000360522,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000362463,9606.ENSP00000363596,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000364683,9606.ENSP00000365256,9606.ENSP00000365777,9606.ENSP00000366395,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377372,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000380365,9606.ENSP00000381185,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000384906,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000397297,9606.ENSP00000398048,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000414303,9606.ENSP00000418009,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000474412,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000478570,9606.ENSP00000483018	ERCC1,MAPK1,MIOX,MYH9,CYP24A1,TGFB1,PON2,MPO,CD38,WFS1,PDHX,RBP1,HSPB1,CHI3L1,FABP4,APC,LAMC1,BAAT,THBS1,COL8A1,CDH1,NOX4,NDUFS3,GCKR,VDAC1,TIMP3,RTN1,POLR2D,ATM,JAZF1,DDAH1,APPL1,CCR5,AQP5,ALDH1A1,NGB,PLIN1,PRDX2,P2RY1,PRKCE,MMP14,CD34,MAPK7,HNF4A,APOL1,SERPINF2,CNDP2,PDGFB,GAS6,ANG,SIRT6,CAV1,LIMK2,STAT5A,KCNJ11,PRKAA1,PDGFA,FMOD,SREBF1,GFPT1,MAP3K5,CD2AP,COMT,CD247,ABCG1,CD47,CNTF,PTGS2,UTRN,SGK1,S100A12,CNR1,CYP2J2,RBP4,ADAMTS13,PTEN,CAP1,NOX1,GLO1,CNR2,TXN,AR,HSPG2,BAMBI,CLCN5,MTHFR,SYVN1,EDN1,JAK2,CAPN10,PDGFD,G6PD,GAP43,FKBP2,NCALD,NFE2L2,RGN,BCL2,PLA2G2A,HPSE,NPY,SAA1,TF,IRAK4,FGFR1,NTF3,ALPK1,RHOA,MYD88,GK,SLC12A3,BDNF,RARRES2,MME,FTO,PROM1,TNFAIP8,CITED2,CCL5,NR1H3,MTHFD1L,VEGFA,ABO
